id	text	tag
Alandemel-01_page_1.png	/‘Nian	O
Alandemel-01_page_1.png	cde	O
Alandemel-01_page_1.png	Miaic	O
Alandemel-01_page_1.png	 	O
Alandemel-01_page_1.png	WORKS	O
Alandemel-01_page_1.png	ORDER	O
Alandemel-01_page_1.png	To:	O
Alandemel-01_page_1.png	|	O
Alandemel-01_page_1.png	D&S	O
Alandemel-01_page_1.png	Appliances	O
Alandemel-01_page_1.png	|	O
Alandemel-01_page_1.png	Date:	B-ORDERDATE
Alandemel-01_page_1.png	2/11/2023	I-ORDERDATE
Alandemel-01_page_1.png	Mr	O
Alandemel-01_page_1.png	Stedeford	O
Alandemel-01_page_1.png	Order	B-PAYMENTPONUMBER
Alandemel-01_page_1.png	BROS-15337681	I-PAYMENTPONUMBER
Alandemel-01_page_1.png	136-137	O
Alandemel-01_page_1.png	High	O
Alandemel-01_page_1.png	Street	O
Alandemel-01_page_1.png	Ilfracombe	O
Alandemel-01_page_1.png	Ordered	B-PAYMENTBYERNAME
Alandemel-01_page_1.png	By:	I-PAYMENTBYERNAME
Alandemel-01_page_1.png	Jeri	I-PAYMENTBYERNAME
Alandemel-01_page_1.png	Davison	I-PAYMENTBYERNAME
Alandemel-01_page_1.png	(Bromley	I-PAYMENTBYERNAME
Alandemel-01_page_1.png	PMC)	I-PAYMENTBYERNAME
Alandemel-01_page_1.png	EX34	O
Alandemel-01_page_1.png	9EZ	O
Alandemel-01_page_1.png	Con.Fax:	O
Alandemel-01_page_1.png	Access:	B-ACCESSKEY
Alandemel-01_page_1.png	tenant	I-ACCESSKEY
Alandemel-01_page_1.png	Key	O
Alandemel-01_page_1.png	|	O
Alandemel-01_page_1.png	|	O
Alandemel-01_page_1.png	Return	O
Alandemel-01_page_1.png	Keys	O
Alandemel-01_page_1.png	Please	B-FAULTDETAIL
Alandemel-01_page_1.png	execute	I-FAULTDETAIL
Alandemel-01_page_1.png	the	I-FAULTDETAIL
Alandemel-01_page_1.png	Appliance	I-FAULTDETAIL
Alandemel-01_page_1.png	-	I-FAULTDETAIL
Alandemel-01_page_1.png	Repairs	I-FAULTDETAIL
Alandemel-01_page_1.png	At:	O
Alandemel-01_page_1.png	|	O
Alandemel-01_page_1.png	656808	O
Alandemel-01_page_1.png	|	O
Alandemel-01_page_1.png	Property	O
Alandemel-01_page_1.png	656808	O
Alandemel-01_page_1.png	Flat	O
Alandemel-01_page_1.png	1	B-SHIPPINGSTREET
Alandemel-01_page_1.png	St.	I-SHIPPINGSTREET
Alandemel-01_page_1.png	Andrews	I-SHIPPINGSTREET
Alandemel-01_page_1.png	House	I-SHIPPINGSTREET
Alandemel-01_page_1.png	72	I-SHIPPINGSTREET
Alandemel-01_page_1.png	Anglesea	O
Alandemel-01_page_1.png	Road	O
Alandemel-01_page_1.png	Orpington	B-SHIPPINGCITY
Alandemel-01_page_1.png	BR5	I-SHIPPINGCITY
Alandemel-01_page_1.png	4AW	I-SHIPPINGCITY
Alandemel-01_page_1.png	Contact:	O
Alandemel-01_page_1.png	Tel:	O
Alandemel-01_page_1.png	Contact:	O
Alandemel-01_page_1.png	Mrs	B-SHIPPINGNAME
Alandemel-01_page_1.png	Corina	I-SHIPPINGNAME
Alandemel-01_page_1.png	Nechifor	I-SHIPPINGNAME
Alandemel-01_page_1.png	-7551823553	B-SHIPPINGPHONE
Alandemel-01_page_1.png	washing	B-INSTRUCTIONNOTES
Alandemel-01_page_1.png	machine	I-INSTRUCTIONNOTES
Alandemel-01_page_1.png	stops	I-INSTRUCTIONNOTES
Alandemel-01_page_1.png	working	I-INSTRUCTIONNOTES
Alandemel-01_page_1.png	mid	I-INSTRUCTIONNOTES
Alandemel-01_page_1.png	cycle	I-INSTRUCTIONNOTES
Alandemel-01_page_1.png	please	I-INSTRUCTIONNOTES
Alandemel-01_page_1.png	advise	I-INSTRUCTIONNOTES
Alandemel-01_page_1.png	what	I-INSTRUCTIONNOTES
Alandemel-01_page_1.png	can	I-INSTRUCTIONNOTES
Alandemel-01_page_1.png	be	I-INSTRUCTIONNOTES
Alandemel-01_page_1.png	done.	I-INSTRUCTIONNOTES
Alandemel-01_page_1.png	 	O
Alandemel-01_page_1.png	 	O
Alandemel-01_page_1.png	 	O
Alandemel-01_page_1.png	Stoptap	O
Alandemel-01_page_1.png	Please	O
Alandemel-01_page_1.png	contact	O
Alandemel-01_page_1.png	the	O
Alandemel-01_page_1.png	office	O
Alandemel-01_page_1.png	below	O
Alandemel-01_page_1.png	with	O
Alandemel-01_page_1.png	a	O
Alandemel-01_page_1.png	quotation	O
Alandemel-01_page_1.png	prior	O
Alandemel-01_page_1.png	to	O
Alandemel-01_page_1.png	carrying	O
Alandemel-01_page_1.png	out	O
Alandemel-01_page_1.png	any	O
Alandemel-01_page_1.png	works.	O
Alandemel-01_page_1.png	Required	B-REQUIREDDATE
Alandemel-01_page_1.png	By:	I-REQUIREDDATE
Alandemel-01_page_1.png	As	O
Alandemel-01_page_1.png	this	O
Alandemel-01_page_1.png	works	O
Alandemel-01_page_1.png	order	O
Alandemel-01_page_1.png	has	O
Alandemel-01_page_1.png	been	O
Alandemel-01_page_1.png	placed	O
Alandemel-01_page_1.png	on	O
Alandemel-01_page_1.png	behalf	O
Alandemel-01_page_1.png	of	O
Alandemel-01_page_1.png	the	O
Alandemel-01_page_1.png	"Landlord,"	O
Alandemel-01_page_1.png	your	O
