id,text,tag
Alandemel_page_1.png, ,O
Alandemel_page_1.png,/‘Nian,O
Alandemel_page_1.png,de,O
Alandemel_page_1.png,Maic,O
Alandemel_page_1.png, ,O
Alandemel_page_1.png,WORKS,O
Alandemel_page_1.png,ORDER,O
Alandemel_page_1.png,TO:,O
Alandemel_page_1.png,|,O
Alandemel_page_1.png,D&S,O
Alandemel_page_1.png,Appliances,O
Alandemel_page_1.png,|,O
Alandemel_page_1.png,Mr,O
Alandemel_page_1.png,Stedeford,O
Alandemel_page_1.png,136-137,O
Alandemel_page_1.png,High,O
Alandemel_page_1.png,Street,O
Alandemel_page_1.png,Ilfracombe,O
Alandemel_page_1.png,EX34,O
Alandemel_page_1.png,9EZ,O
Alandemel_page_1.png,Please,B-FAULTDETAIL
Alandemel_page_1.png,execute,I-FAULTDETAIL
Alandemel_page_1.png,the,I-FAULTDETAIL
Alandemel_page_1.png,Other-,I-FAULTDETAIL
Alandemel_page_1.png,appliance,I-FAULTDETAIL
Alandemel_page_1.png,At:,O
Alandemel_page_1.png,|,O
Alandemel_page_1.png,571493,O
Alandemel_page_1.png,Flat,B-SHIPPINGSTREET
Alandemel_page_1.png,E,I-SHIPPINGSTREET
Alandemel_page_1.png,7,I-SHIPPINGSTREET
Alandemel_page_1.png,Oaklands,I-SHIPPINGSTREET
Alandemel_page_1.png,Road,I-SHIPPINGSTREET
Alandemel_page_1.png,_,O
Alandemel_page_1.png,|,O
Alandemel_page_1.png,Bromley,B-SHIPPINGCITY
Alandemel_page_1.png,BR1,I-SHIPPINGCITY
Alandemel_page_1.png,3SJ,I-SHIPPINGCITY
Alandemel_page_1.png,|,O
Alandemel_page_1.png,Contact:,O
Alandemel_page_1.png,Tel:,O
Alandemel_page_1.png,Contact:,O
Alandemel_page_1.png,Mr,B-SHIPPINGNAME
Alandemel_page_1.png,Frederick,I-SHIPPINGNAME
Alandemel_page_1.png,William,I-SHIPPINGNAME
Alandemel_page_1.png,Gregory,I-SHIPPINGNAME
Alandemel_page_1.png,-7539216864,B-SHIPPINGPHONE
Alandemel_page_1.png,Cat,B-INSTRUCTIONNOTES
Alandemel_page_1.png,2,I-INSTRUCTIONNOTES
Alandemel_page_1.png,-,I-INSTRUCTIONNOTES
Alandemel_page_1.png,Hotpoint,I-INSTRUCTIONNOTES
Alandemel_page_1.png,/,I-INSTRUCTIONNOTES
Alandemel_page_1.png,Indesit,I-INSTRUCTIONNOTES
Alandemel_page_1.png,-,I-INSTRUCTIONNOTES
Alandemel_page_1.png,£499,I-INSTRUCTIONNOTES
